old_parcel_id,new_parcel_id,ward_id,legacy_survey_id,property_id,slot,old_storage_id,minio_bucket,minio_object_key,status,action
0005,01be1d77-bad3-4018-af05-7d6018832a79,clocalw801262p00000003,k975myrav11zpxaz828eg3fr1s88gn04,801262-003-00005-001-P,front,kg2718gxk5bpaar0922xfjjwp188h8dn,api-survey-app,etah-images/district-ETA/ward-03/k975myrav11zpxaz828eg3fr1s88gn04/front.jpg,unrecoverable_no_convex_url,UNRECOVERABLE
0005,01be1d77-bad3-4018-af05-7d6018832a79,clocalw801262p00000003,k975myrav11zpxaz828eg3fr1s88gn04,801262-003-00005-001-P,side,kg25ajyfah2h0wep2z4scge03h88gtpz,api-survey-app,etah-images/district-ETA/ward-03/k975myrav11zpxaz828eg3fr1s88gn04/side.jpg,unrecoverable_no_convex_url,UNRECOVERABLE
00902,cmryu0hb702s500fnupci6ng2,cmrytcbsw002fxgfnrfin23nx,k975csv0sk9at1bm2sm9vp1cxn8b5nyb,801262-001-00902-001-R,front,kg25hh68sfjb0368hvtr30xm7d8b4by2,api-survey-app,etah-images/district-ETA/ward-01/k975csv0sk9at1bm2sm9vp1cxn8b5nyb/front.jpg,missing_pg_minio_present,create_metadata
00902,cmryu0hb702s500fnupci6ng2,cmrytcbsw002fxgfnrfin23nx,k975csv0sk9at1bm2sm9vp1cxn8b5nyb,801262-001-00902-001-R,side,kg2cvrp2sct0jm60j38svcjjeh8b589x,api-survey-app,etah-images/district-ETA/ward-01/k975csv0sk9at1bm2sm9vp1cxn8b5nyb/side.jpg,missing_pg_minio_present,create_metadata
00958,5a2626dc-98c9-4713-ba38-1a29cc365a23,cmrytcbsw002fxgfnrfin23nx,k977ecv7h1h4rrh8tgpc3xav5h8axx3j,TEMP-DF06C68A,front,kg2d73z2y0qamng65gftaj20nn8b4bss,api-survey-app,etah-images/district-ETA/ward-01/k977ecv7h1h4rrh8tgpc3xav5h8axx3j/front.jpg,missing_pg_minio_present,create_metadata
00958,5a2626dc-98c9-4713-ba38-1a29cc365a23,cmrytcbsw002fxgfnrfin23nx,k977ecv7h1h4rrh8tgpc3xav5h8axx3j,TEMP-DF06C68A,side,kg235e8szby1n2f03rfcw2tdcs8b5szg,api-survey-app,etah-images/district-ETA/ward-01/k977ecv7h1h4rrh8tgpc3xav5h8axx3j/side.jpg,missing_pg_minio_present,create_metadata
00305,,12,k970djzvy9cbnxewwdc36d9yj98bg13r,801262-012-00305-001-R,front,kg2ekvverwyyd5q8agfn5h0kyn8bhsva,api-survey-app,,nest_survey_missing,SKIP
00305,,12,k970djzvy9cbnxewwdc36d9yj98bg13r,801262-012-00305-001-R,side,kg28g1gjrt6gdg7prczckq6vsx8bh9s1,api-survey-app,,nest_survey_missing,SKIP
00304,,12,k975s0a9rhftm537r6b77v88sx8bhv66,801262-012-00304-001-R,front,kg21fw18pxyaexqa6fn809f7a98bg35b,api-survey-app,,nest_survey_missing,SKIP
00304,,12,k975s0a9rhftm537r6b77v88sx8bhv66,801262-012-00304-001-R,side,kg2b5908tsmj7mh5kqbe3gb14d8bhy26,api-survey-app,,nest_survey_missing,SKIP
